Timestamp,Positions
1687458071.7793694,"[(0, 636, 379), (1, 665, 331), (2, 720, 303), (3, 767, 293), (4, 800, 288), (5, 727, 289), (6, 799, 275), (7, 854, 291), (8, 890, 308), (9, 718, 318), (10, 812, 326), (11, 866, 356), (12, 898, 381), (13, 711, 358), (14, 801, 374), (15, 856, 400), (16, 889, 420), (17, 706, 402), (18, 777, 421), (19, 822, 437), (20, 856, 449)]"
1687458071.8033702,"[(0, 605, 396), (1, 640, 351), (2, 695, 317), (3, 739, 295), (4, 768, 276), (5, 715, 300), (6, 795, 283), (7, 850, 295), (8, 887, 314), (9, 706, 327), (10, 810, 331), (11, 850, 364), (12, 864, 394), (13, 700, 366), (14, 800, 382), (15, 843, 411), (16, 860, 434), (17, 696, 411), (18, 776, 433), (19, 821, 450), (20, 851, 463)]"
1687458071.8193736,"[(0, 586, 404), (1, 619, 352), (2, 673, 318), (3, 720, 296), (4, 752, 279), (5, 698, 296), (6, 781, 276), (7, 832, 287), (8, 865, 305), (9, 695, 322), (10, 799, 325), (11, 832, 358), (12, 838, 386), (13, 693, 361), (14, 792, 375), (15, 824, 408), (16, 829, 431), (17, 691, 406), (18, 767, 429), (19, 809, 449), (20, 835, 463)]"
1687458071.843385,"[(0, 572, 390), (1, 615, 337), (2, 678, 308), (3, 735, 297), (4, 775, 294), (5, 688, 280), (6, 765, 261), (7, 817, 265), (8, 854, 275), (9, 684, 302), (10, 781, 300), (11, 806, 333), (12, 810, 359), (13, 683, 338), (14, 774, 346), (15, 798, 376), (16, 798, 398), (17, 682, 382), (18, 757, 400), (19, 796, 419), (20, 820, 433)]"
1687458071.8673859,"[(0, 567, 374), (1, 612, 322), (2, 673, 288), (3, 732, 271), (4, 777, 267), (5, 673, 257), (6, 746, 233), (7, 790, 241), (8, 819, 256), (9, 668, 275), (10, 762, 268), (11, 788, 302), (12, 793, 331), (13, 667, 306), (14, 758, 306), (15, 784, 337), (16, 786, 361), (17, 666, 347), (18, 742, 358), (19, 778, 378), (20, 798, 394)]"
1687458071.899385,"[(0, 586, 281), (1, 605, 244), (2, 654, 218), (3, 699, 214), (4, 731, 221), (5, 657, 191), (6, 716, 175), (7, 762, 180), (8, 794, 190), (9, 654, 205), (10, 730, 196), (11, 752, 226), (12, 755, 253), (13, 654, 234), (14, 729, 232), (15, 752, 261), (16, 752, 286), (17, 654, 268), (18, 715, 280), (19, 744, 299), (20, 757, 316)]"
1687458071.915385,"[(0, 551, 289), (1, 596, 258), (2, 638, 232), (3, 673, 225), (4, 704, 225), (5, 638, 180), (6, 696, 159), (7, 736, 159), (8, 766, 165), (9, 635, 179), (10, 702, 146), (11, 745, 154), (12, 772, 168), (13, 636, 195), (14, 711, 186), (15, 726, 220), (16, 725, 249), (17, 638, 222), (18, 701, 245), (19, 725, 273), (20, 736, 294)]"
1687458071.9394026,"[(0, 533, 263), (1, 584, 247), (2, 625, 224), (3, 657, 215), (4, 685, 210), (5, 612, 157), (6, 670, 134), (7, 711, 131), (8, 742, 134), (9, 609, 152), (10, 677, 125), (11, 712, 141), (12, 730, 161), (13, 613, 163), (14, 687, 162), (15, 704, 198), (16, 706, 228), (17, 619, 186), (18, 678, 213), (19, 700, 242), (20, 710, 266)]"
1687458071.9794033,"[(0, 568, 165), (1, 593, 136), (2, 631, 125), (3, 665, 127), (4, 690, 138), (5, 629, 109), (6, 671, 106), (7, 693, 122), (8, 704, 138), (9, 622, 122), (10, 675, 132), (11, 687, 157), (12, 687, 173), (13, 616, 143), (14, 671, 154), (15, 687, 175), (16, 687, 191), (17, 610, 166), (18, 655, 186), (19, 679, 205), (20, 692, 221)]"
1687458071.9954035,"[(0, 551, 164), (1, 578, 165), (2, 606, 163), (3, 630, 173), (4, 647, 185), (5, 608, 105), (6, 640, 94), (7, 665, 93), (8, 683, 96), (9, 602, 102), (10, 644, 99), (11, 656, 122), (12, 655, 147), (13, 596, 110), (14, 641, 113), (15, 653, 137), (16, 653, 161), (17, 590, 127), (18, 623, 146), (19, 639, 168), (20, 648, 188)]"
