Frame,Video Time,"Thumb (X, Y)","Index Finger (X, Y)","Middle Finger (X, Y)","Ring Finger (X, Y)","Pinky Finger (X, Y)",Angle
2,00:00,"(800, 288)","(890, 308)","(898, 381)","(889, 420)","(856, 449)",-23.509040224192457
3,00:00,"(768, 276)","(887, 314)","(864, 394)","(860, 434)","(851, 463)",-23.189585990775115
4,00:00,"(752, 279)","(865, 305)","(838, 386)","(829, 431)","(835, 463)",-22.207477027876234
5,00:00,"(775, 294)","(854, 275)","(810, 359)","(798, 398)","(820, 433)",-19.73340147843067
6,00:00,"(777, 267)","(819, 256)","(793, 331)","(786, 361)","(798, 394)",-21.1115939677331
7,00:00,"(731, 221)","(794, 190)","(755, 253)","(752, 286)","(757, 316)",-26.533690600290143
8,00:00,"(704, 225)","(766, 165)","(772, 168)","(725, 249)","(736, 294)",-24.847353432394467
9,00:00,"(685, 210)","(742, 134)","(730, 161)","(706, 228)","(710, 266)",-25.24541723245166
10,00:00,"(690, 138)","(704, 138)","(687, 173)","(687, 191)","(692, 221)",-31.93068210371782
11,00:00,"(647, 185)","(683, 96)","(655, 147)","(653, 161)","(648, 188)",-29.496311144882633
12,00:00,"(628, 158)","(669, 84)","(647, 123)","(641, 131)","(632, 168)",-31.177945364268307
13,00:00,"(618, 140)","(666, 75)","(642, 115)","(633, 121)","(619, 148)",-32.25471052686715
14,00:00,"(606, 123)","(650, 70)","(640, 84)","(634, 109)","(626, 137)",-32.09029094010919
15,00:00,"(592, 132)","(619, 103)","(628, 98)","(634, 88)","(637, 85)",-33.712396355524795
16,00:00,"(626, 89)","(620, 90)","(629, 88)","(622, 90)","(617, 101)",-35.10244019367983
17,00:00,"(838, 203)","(836, 149)","(834, 150)","(802, 202)","(809, 236)",-40.51108290374537
18,00:00,"(810, 213)","(832, 132)","(832, 130)","(799, 178)","(806, 212)",-40.99507387109131
19,00:00,"(764, 245)","(822, 111)","(819, 114)","(791, 154)","(804, 185)",-41.07956594220702
20,00:00,"(754, 247)","(814, 114)","(819, 105)","(786, 146)","(799, 181)",-41.15363069500291
21,00:00,"(748, 250)","(799, 153)","(797, 124)","(785, 136)","(796, 159)",-41.077287109489525
