Frame,Video Time,Thumb,Index Finger,Middle Finger,Ring Finger,Pinky Finger,Angle
0,00:00,"(366, 823)","(226, 760)","(160, 772)","(117, 816)","(107, 885)",55.06672961885516
1,00:00,"(352, 848)","(229, 766)","(162, 767)","(118, 808)","(103, 872)",57.61573086964051
2,00:00,"(347, 857)","(225, 771)","(164, 764)","(121, 796)","(98, 857)",59.10893535928828
3,00:00,"(331, 877)","(222, 775)","(165, 759)","(123, 784)","(96, 840)",61.82655567829886
4,00:00,"(315, 889)","(212, 780)","(160, 755)","(129, 773)","(101, 824)",63.9001760336117
5,00:00,"(280, 900)","(202, 783)","(154, 752)","(128, 765)","(102, 813)",67.16634582208245
6,00:00,"(279, 897)","(201, 784)","(154, 751)","(130, 767)","(102, 802)",67.57298853048592
7,00:00,"(135, 811)","(120, 772)","(139, 748)","(154, 755)","(179, 784)",77.04816252779442
8,00:00,,,,,,
9,00:00,,,,,,
10,00:00,,,,,,
11,00:00,,,,,,
12,00:00,,,,,,
13,00:00,,,,,,
14,00:00,,,,,,
15,00:00,,,,,,
16,00:00,,,,,,
17,00:00,,,,,,
18,00:00,,,,,,
19,00:00,,,,,,
20,00:00,,,,,,
21,00:00,,,,,,
22,00:00,,,,,,
23,00:00,,,,,,
24,00:00,,,,,,
25,00:00,,,,,,
26,00:00,,,,,,
27,00:00,,,,,,
28,00:00,,,,,,
29,00:00,,,,,,
30,00:01,,,,,,
31,00:01,,,,,,
32,00:01,,,,,,
33,00:01,,,,,,
34,00:01,,,,,,
35,00:01,,,,,,
36,00:01,,,,,,
37,00:01,,,,,,
38,00:01,,,,,,
39,00:01,,,,,,
40,00:01,,,,,,
41,00:01,,,,,,
42,00:01,,,,,,
43,00:01,,,,,,
44,00:01,,,,,,
45,00:01,,,,,,
46,00:01,,,,,,
47,00:01,,,,,,
48,00:01,,,,,,
49,00:01,,,,,,
50,00:01,,,,,,
51,00:01,,,,,,
52,00:01,,,,,,
53,00:01,,,,,,
54,00:01,,,,,,
55,00:01,,,,,,
56,00:01,,,,,,
57,00:01,,,,,,
58,00:01,,,,,,
59,00:01,,,,,,
60,00:02,,,,,,
61,00:02,,,,,,
62,00:02,,,,,,
63,00:02,,,,,,
64,00:02,,,,,,
65,00:02,,,,,,
66,00:02,,,,,,
67,00:02,,,,,,
68,00:02,,,,,,
69,00:02,,,,,,
70,00:02,,,,,,
71,00:02,,,,,,
72,00:02,,,,,,
73,00:02,,,,,,
74,00:02,,,,,,
75,00:02,,,,,,
76,00:02,,,,,,
77,00:02,,,,,,
78,00:02,,,,,,
79,00:02,,,,,,
80,00:02,,,,,,
81,00:02,,,,,,
82,00:02,,,,,,
83,00:02,,,,,,
84,00:02,,,,,,
85,00:02,,,,,,
86,00:02,,,,,,
87,00:02,,,,,,
88,00:02,,,,,,
89,00:02,,,,,,
90,00:03,,,,,,
91,00:03,,,,,,
92,00:03,,,,,,
93,00:03,,,,,,
94,00:03,,,,,,
95,00:03,,,,,,
96,00:03,,,,,,
97,00:03,,,,,,
98,00:03,,,,,,
99,00:03,,,,,,
100,00:03,,,,,,
101,00:03,,,,,,
102,00:03,,,,,,
103,00:03,,,,,,
104,00:03,,,,,,
105,00:03,,,,,,
106,00:03,,,,,,
107,00:03,,,,,,
108,00:03,,,,,,
109,00:03,,,,,,
110,00:03,,,,,,
111,00:03,,,,,,
112,00:03,,,,,,
113,00:03,,,,,,
114,00:03,,,,,,
115,00:03,,,,,,
116,00:03,,,,,,
117,00:03,,,,,,
118,00:03,,,,,,
119,00:03,,,,,,
120,00:04,,,,,,
121,00:04,,,,,,
122,00:04,,,,,,
123,00:04,,,,,,
124,00:04,,,,,,
125,00:04,,,,,,
126,00:04,,,,,,
127,00:04,,,,,,
128,00:04,,,,,,
129,00:04,,,,,,
130,00:04,,,,,,
131,00:04,,,,,,
132,00:04,,,,,,
133,00:04,,,,,,
134,00:04,,,,,,
135,00:04,,,,,,
136,00:04,,,,,,
137,00:04,,,,,,
138,00:04,,,,,,
139,00:04,,,,,,
140,00:04,,,,,,
141,00:04,,,,,,
142,00:04,,,,,,
143,00:04,,,,,,
144,00:04,,,,,,
145,00:04,,,,,,
146,00:04,,,,,,
147,00:04,,,,,,
148,00:04,,,,,,
149,00:04,,,,,,
150,00:05,,,,,,
151,00:05,,,,,,
152,00:05,,,,,,
153,00:05,,,,,,
154,00:05,,,,,,
155,00:05,,,,,,
156,00:05,,,,,,
157,00:05,,,,,,
158,00:05,,,,,,
159,00:05,,,,,,
160,00:05,,,,,,
161,00:05,,,,,,
162,00:05,,,,,,
163,00:05,,,,,,
164,00:05,,,,,,
165,00:05,,,,,,
166,00:05,,,,,,
167,00:05,,,,,,
168,00:05,,,,,,
