Frame,Video Time,Thumb,Index Finger,Middle Finger,Ring Finger,Pinky Finger,Angle
0,00:00,"(448, 414)","(440, 353)","(344, 221)","(276, 207)","(211, 236)",24.27027325930947
1,00:00,"(474, 410)","(469, 366)","(384, 230)","(315, 212)","(265, 251)",19.515873009582698
2,00:00,"(499, 414)","(493, 367)","(424, 234)","(367, 218)","(322, 248)",16.625477407620956
3,00:00,"(512, 415)","(506, 373)","(444, 237)","(388, 221)","(349, 247)",14.141518093624708
4,00:00,"(528, 424)","(535, 382)","(480, 247)","(428, 225)","(387, 245)",12.494333718418103
5,00:00,"(538, 429)","(543, 379)","(508, 259)","(454, 230)","(412, 247)",10.426632605443938
6,00:00,"(552, 431)","(554, 377)","(523, 263)","(469, 232)","(428, 242)",8.551067063439248
7,00:00,"(576, 423)","(582, 393)","(562, 282)","(505, 236)","(449, 235)",5.257204036253892
8,00:00,"(585, 422)","(583, 387)","(570, 286)","(514, 236)","(456, 235)",4.009046108193264
9,00:00,"(590, 430)","(594, 394)","(595, 357)","(547, 254)","(464, 235)",3.7818463645691702
10,00:00,"(597, 430)","(604, 397)","(601, 339)","(542, 251)","(459, 233)",2.9724880351734875
11,00:00,"(611, 445)","(616, 412)","(602, 340)","(537, 247)","(457, 240)",2.436648246810131
12,00:00,"(616, 448)","(621, 411)","(614, 366)","(557, 255)","(459, 239)",2.1382971705407092
13,00:00,"(618, 447)","(623, 415)","(608, 303)","(550, 244)","(465, 242)",1.5757001333658498
14,00:00,"(619, 443)","(628, 413)","(609, 303)","(544, 244)","(473, 245)",0.5553536529936881
15,00:00,"(620, 448)","(620, 420)","(608, 354)","(553, 257)","(480, 252)",0.8316545168383622
16,00:00,"(621, 452)","(616, 419)","(603, 396)","(564, 269)","(481, 255)",0.8303154862580109
17,00:00,"(621, 454)","(617, 424)","(610, 373)","(564, 270)","(486, 257)",0.8303154862580109
18,00:00,"(621, 453)","(619, 422)","(608, 396)","(571, 276)","(495, 261)",0.7380690534580425
19,00:00,"(619, 454)","(615, 426)","(608, 406)","(590, 287)","(510, 264)",0.5553536529936881
20,00:00,"(619, 453)","(620, 426)","(625, 345)","(578, 279)","(513, 262)",0.1851230375929864
21,00:00,"(621, 453)","(619, 425)","(620, 379)","(588, 287)","(518, 262)",-0.1845268322614878
22,00:00,"(621, 451)","(623, 425)","(630, 360)","(590, 289)","(516, 259)",-0.7380690534580425
23,00:00,"(634, 444)","(628, 416)","(630, 380)","(607, 292)","(535, 254)",-1.8971161368627176
24,00:01,"(638, 436)","(636, 404)","(644, 336)","(609, 285)","(535, 240)",-2.96093613416375
